SourceID Photons AvgX AvgY
34.000000 1337735 2199.754744 17.129109
223.000000 1331264 3904.533004 2325.713791
499.000000 1358844 2154.114018 1959.655813
611.000000 1364052 2951.075743 2880.924998
869.000000 1327212 3160.552962 1152.438360
1043.000000 1321833 3574.765473 509.217024
1433.000000 1322201 3350.429503 1101.194560
1588.000000 1375536 199.669034 1096.121785
1589.000000 1400471 945.572400 3429.291878
2139.000000 1354489 1906.436420 1574.027759
2531.000000 1404992 1181.485910 3966.068364
2553.000000 1353930 3652.047488 3232.170336
2555.000000 1332664 3142.941664 1682.019272
2619.000000 1349466 1887.176113 564.145079
2949.000000 528 3835.517045 2895.405303
3277.000000 1395105 462.478367 2782.082926
3457.000000 1393881 581.585964 2537.291208
3510.000000 1366619 1425.277419 1710.864437
3797.000000 1361809 3764.464407 3549.223896
4405.000000 1325638 3484.375168 422.651568
4413.000000 1345176 2381.124846 1450.650551
4461.000000 1346215 3756.035081 2900.527350
4854.000000 6838 3964.357999 2692.425124
4940.000000 1380189 2133.551280 3006.593595
4990.000000 1341237 2677.602302 1615.992759
5239.000000 1398119 546.558435 3137.357875
5789.000000 1392457 1802.473467 3452.246928
5857.000000 1386525 695.626932 2337.404863
6132.000000 1312787 3810.889711 1212.152389
6286.000000 1329146 3235.027310 1656.796532
6380.000000 1353200 3627.645727 3154.499229
6535.000000 1361662 1486.044640 1538.574081
6616.000000 1326296 3500.873945 170.042806
6712.000000 1382567 1420.209735 2603.340742
6923.000000 1328507 3172.884219 1449.759106
7116.000000 1336105 2746.014480 403.258375
7137.000000 2225 3935.302472 3865.012135
7407.000000 1361325 2633.052425 2467.936361
7617.000000 1383342 2993.379603 3876.148277
7863.000000 1365496 3786.774291 3952.461482
8014.000000 1333074 2863.127592 1348.984418
8143.000000 638 124.242947 333.427900
8831.000000 1410841 542.883929 3962.841206
8926.000000 1394994 472.248385 2934.070355
9078.000000 1382557 244.767529 1551.900685
9662.000000 1388482 1994.214183 3462.357987
9833.000000 4721 42.598390 3651.046177
