SourceID Photons AvgX AvgY
162.000000 2200589 1283.338677 770.679882
923.000000 2197444 2187.889513 2053.679299
1183.000000 1797 2507.825821 111.548136
1816.000000 2190358 2831.825148 3869.584136
2055.000000 1446 109.244813 244.734440
2281.000000 2197502 3907.526902 3364.698200
2326.000000 2188375 262.489294 3357.922399
2471.000000 2204288 1468.340401 427.880852
2983.000000 2184488 575.460646 3559.204149
3016.000000 2192121 3059.864258 3876.557289
3205.000000 2204999 2352.505150 1009.170340
3282.000000 2191578 3640.461583 3930.234392
4289.000000 2207292 3071.277052 944.995830
5161.000000 2203624 3559.787533 1750.757486
5247.000000 2201737 3943.293407 2208.635860
5268.000000 2193344 641.338502 2177.997048
5492.000000 2205933 3667.365277 1244.502457
5710.000000 2207181 3479.420166 770.316502
5942.000000 2201666 2032.400885 2071.954303
6124.000000 2186223 1085.214981 3496.087760
6357.000000 2200881 252.866304 305.313562
6382.000000 2195635 1177.259035 2644.647111
6836.000000 2567 3926.425399 64.229840
7305.000000 2196831 3230.577775 3503.122408
7432.000000 2205968 3528.276777 1190.937001
7498.000000 2194937 1402.033639 3076.815478
7512.000000 2199531 3542.279597 3201.733808
7702.000000 2189535 915.473985 3577.199480
7837.000000 2192828 2082.148594 3401.364126
8027.000000 2205906 2939.190908 398.863601
8238.000000 2188812 432.026585 3364.707618
8564.000000 2198362 1930.923120 2124.164091
8608.000000 2199646 1217.022347 1224.814229
8659.000000 2190442 1714.855809 3282.305153
8671.000000 2196735 867.748698 1490.698966
8786.000000 2191011 2091.116238 3825.733326
8861.000000 2194797 172.702259 1621.340384
9769.000000 2202074 1366.517974 655.117642
