SourceID Photons AvgX AvgY
127.000000 2209411 1336.371225 194.831174
316.000000 2034839 1939.863064 4.204500
413.000000 2216802 3562.942310 3886.082437
739.000000 2210707 1103.999605 425.939260
860.000000 2209071 3953.209206 2636.554649
966.000000 2215323 3578.244099 3215.401197
1514.000000 2224255 795.495779 3994.471032
2058.000000 2205165 3109.233836 138.416245
2189.000000 2214321 2826.073568 3193.734938
2559.000000 2217174 281.500201 1791.557491
2832.000000 2215752 1594.600318 1583.120178
3085.000000 2212570 602.805849 339.460077
3236.000000 2226664 377.531193 3754.585691
3321.000000 2217336 3150.231641 3674.806251
3358.000000 78549 3989.885218 116.654789
4142.000000 2195241 3972.585638 446.035638
4315.000000 2218134 1797.117863 2163.530671
4599.000000 2211583 3763.189177 2695.439951
4680.000000 2219714 1335.125402 2203.790132
4923.000000 2209276 2235.901326 1297.325393
5439.000000 910 3820.150549 2412.082418
5851.000000 4008 3772.594810 4008.231537
5916.000000 2218225 1146.611079 2372.060882
6023.000000 2211163 3733.785167 1782.929606
6441.000000 2214223 2575.981218 1484.169148
6487.000000 4033 70.123729 1702.168113
6917.000000 2203351 984.051359 4058.353170
7081.000000 2221743 1959.370078 3890.934857
7569.000000 2223134 811.835765 3748.925942
7736.000000 2220747 46.218246 3473.473101
7778.000000 2209728 3832.402102 1508.102671
7881.000000 1877 3896.769845 2279.977091
7890.000000 2222523 1656.702432 3931.766106
7998.000000 2221377 564.575457 3268.992537
8998.000000 2224358 308.274769 3700.664550
9347.000000 2217658 1806.493350 2322.574378
