SourceID Photons AvgX AvgY
454.000000 2206960 2721.710490 533.520798
566.000000 2195892 2169.908027 2937.943707
608.000000 2198328 1955.990266 2471.585607
702.000000 2204871 2637.692546 868.314552
745.000000 2196666 1577.817976 2711.497738
764.000000 2204199 2526.913375 29.642220
846.000000 2202307 2504.185633 2240.076300
960.000000 1752 180.787100 103.912100
1005.000000 2203859 1047.118674 126.923103
1210.000000 2201503 1297.802610 1360.372540
1629.000000 2208431 2831.252621 449.917005
1894.000000 3698 1202.090049 3999.355327
2002.000000 2209841 3635.095890 914.331378
2123.000000 2197505 2782.589478 3267.815180
2290.000000 2189994 349.901581 3804.715744
2428.000000 2198149 983.813740 1904.923474
2458.000000 2203385 1836.096021 1480.553324
2647.000000 2194042 125.794070 2635.705228
2734.000000 2028 3525.280572 99.506903
2843.000000 2191791 771.759697 2938.290571
3428.000000 2192813 3466.068840 3896.156580
3507.000000 2205187 1841.288121 1286.820100
3975.000000 2196546 829.757547 2606.585741
4094.000000 2205369 2985.701260 1143.697758
4473.000000 2207774 2352.222285 757.138439
4782.000000 2201109 2451.267663 2721.005323
5385.000000 2202046 1720.036355 2231.072075
5410.000000 2204008 560.358580 715.084411
5797.000000 2207541 3297.956659 405.223508
5815.000000 2202041 3833.175730 1719.845445
5921.000000 2200711 956.439046 1361.641159
6435.000000 2200789 3401.487897 2723.270104
6523.000000 2204764 3755.181894 1611.213802
6532.000000 2198277 1764.004796 1850.616406
6798.000000 2202923 3582.576610 1830.632156
7079.000000 2193593 1238.499861 3298.952852
7112.000000 2208354 2993.788469 434.800324
7208.000000 2204621 2242.873651 37.226942
7306.000000 2194151 2063.634105 3742.519016
7994.000000 2204372 2122.365065 1024.534658
8438.000000 2201153 3021.495877 2615.819809
8542.000000 1527 893.471513 3951.499673
8558.000000 2195851 3854.508227 3684.991519
8581.000000 2201009 1533.277453 1732.212571
8723.000000 2202209 523.237774 441.574311
8828.000000 392474 3995.663736 3503.192884
8912.000000 2207600 3821.558940 919.270409
9019.000000 2193775 3359.877590 3824.563000
9046.000000 2193327 1636.828799 2605.061373
9220.000000 2203306 1783.993003 1771.413389
9328.000000 2194785 3453.233370 3589.948751
9425.000000 2210669 2984.905253 342.084092
9632.000000 2198674 1967.035505 2143.822380
9651.000000 2199340 3286.994455 2598.216630
9677.000000 2193983 2052.289544 3815.037868
9830.000000 2203948 3952.636154 1020.660577
