SourceID Photons AvgX AvgY
142.000000 209 3772.344498 165.732057
189.000000 2226676 1903.629616 1121.589774
720.000000 2229180 2099.508322 628.231665
800.000000 2227003 1914.650973 1047.298685
852.000000 2227621 3524.210655 3965.584924
867.000000 2230215 2503.867450 1574.974380
1092.000000 2229569 593.344685 936.868862
1230.000000 2229585 160.796144 337.525630
2257.000000 2225398 3155.308279 1085.271443
3025.000000 2228804 3670.693688 3793.263058
3075.000000 2227902 2066.367485 1450.592517
3201.000000 2228564 3383.055254 3238.885559
3252.000000 955 462.502618 160.284817
3283.000000 2228696 2969.901881 1776.336663
3451.000000 2226801 2820.890165 572.983616
3498.000000 2228572 831.030051 1128.983686
3908.000000 2231025 1730.495894 1935.634619
4228.000000 2229202 2229.912816 3576.217785
4425.000000 2230160 3447.646519 2907.160541
4460.000000 2225394 3175.089419 3075.974919
5096.000000 2229825 1865.873847 1801.698389
5122.000000 2231269 1959.326855 2010.662733
5569.000000 2231647 1079.497442 3532.170158
6462.000000 2230458 2231.640958 3416.388452
6558.000000 2230690 3594.871897 1708.288906
6733.000000 2230497 2449.447442 1853.323788
6808.000000 2230938 1226.089448 959.887160
6830.000000 2229771 838.583607 396.560448
6966.000000 2227569 3741.756767 2043.681403
7307.000000 4637 61.029114 2953.998059
7422.000000 2230233 214.220255 2357.030757
7852.000000 2228914 286.339416 979.909767
8164.000000 2229245 2944.634300 3083.581069
8165.000000 2227832 1976.074232 3442.149947
8208.000000 178105 2938.419107 4065.445490
8312.000000 2229618 701.627718 942.736554
8521.000000 2226112 3626.250005 1105.967923
8522.000000 1205 1409.663071 130.448963
8531.000000 2232570 1195.322269 3605.165054
8595.000000 910 3252.614286 177.779121
8675.000000 2230748 1162.162799 1878.881252
9010.000000 2229052 2452.761726 3961.595619
9552.000000 2229460 2180.695520 3163.576144
9669.000000 2227476 2059.903090 1664.005681
9824.000000 2226278 2496.897288 792.843131
9834.000000 2229749 3692.774277 1891.160578
9952.000000 2227970 3397.078378 3379.811787
