SourceID Photons AvgX AvgY
237.000000 2480938 2656.953036 340.616905
339.000000 2484438 1783.686941 1183.923120
428.000000 2488331 3174.572106 1379.007302
550.000000 2493426 795.002805 4012.024108
614.000000 2487035 2756.799239 1625.974536
936.000000 2496606 106.256474 3597.977168
1285.000000 2489915 1010.540602 1946.581530
2060.000000 2484098 45.945182 2786.471921
2133.000000 2486844 372.260219 2446.754743
2736.000000 2491362 2904.946483 2095.560221
2879.000000 2501709 2604.056244 3577.651205
3134.000000 2491446 1971.769737 1882.174089
3755.000000 2495038 139.055882 3930.353321
4687.000000 2482481 3169.257324 584.557025
5482.000000 2483958 611.288792 2169.614996
5657.000000 2497007 2426.335024 3936.313448
5716.000000 21961 22.410136 940.690861
6033.000000 3223 3925.466025 3691.754887
6268.000000 2492210 2949.703819 1808.009622
6287.000000 2494763 2685.240085 2671.641289
6397.000000 2482585 837.444545 894.009614
6426.000000 2492398 2548.304314 1850.380860
6665.000000 2497174 3779.263738 2845.947630
6872.000000 2479144 882.777567 395.969066
7263.000000 2499584 3895.247624 3539.924211
7444.000000 2482140 2010.771375 412.170360
7822.000000 2490497 2366.344628 2130.997755
8119.000000 2483062 841.595713 1571.577116
8139.000000 2490466 3759.049520 1586.488452
8243.000000 2207 489.804259 3976.573629
8380.000000 2503227 2600.913549 3823.284635
8575.000000 2493331 386.429142 3790.233486
9408.000000 2481906 473.897613 1378.824040
