SourceID Photons AvgX AvgY
159.000000 2436381 693.581725 3915.654628
1180.000000 2438428 1011.569736 3728.848299
1261.000000 2447997 3875.063031 2344.970267
1288.000000 2408218 412.843664 1009.382775
1507.000000 2441169 1879.917772 3760.747206
1741.000000 2437328 3494.752079 1064.798116
1838.000000 2438944 3177.378983 1353.475373
2467.000000 2439000 1539.245343 3610.676740
2872.000000 2416976 1704.745646 673.428192
2915.000000 2434843 3897.105044 787.942453
3353.000000 41017 3036.227442 15.267572
3483.000000 2424740 916.524243 1875.502721
3676.000000 2454101 3177.091814 3142.070601
3872.000000 2434002 3973.842069 1422.662267
3967.000000 1294 144.361669 2730.806028
4211.000000 2427268 1302.321093 2109.680265
4923.000000 5001 368.500700 57.035393
4965.000000 2439153 3753.542897 885.780812
5138.000000 2446791 2742.264549 3220.779398
5415.000000 2438124 1696.538462 3303.686215
6062.000000 2433436 2021.186173 1804.831723
6098.000000 2436183 1122.239851 3280.053218
6173.000000 2438790 2555.577290 2002.866251
6203.000000 2374458 9.049858 2111.871299
6245.000000 2434453 1625.669865 2769.972877
6607.000000 2389403 64.766799 95.777450
6743.000000 2440292 2035.193122 3096.666982
7032.000000 2397252 2925.340394 4063.380048
7262.000000 2409607 1112.979923 498.250324
7540.000000 2425899 3077.014957 574.788218
7725.000000 2430729 2145.940782 1160.425303
7746.000000 2431763 1853.116881 2183.087435
7920.000000 2443353 2568.833461 2592.730575
8358.000000 2431941 191.203333 3952.013994
8492.000000 2424496 2913.079375 439.998480
8505.000000 2451639 2784.647729 3991.297062
8545.000000 2430934 3339.427679 272.877818
8672.000000 2452403 2462.085897 3933.796595
8786.000000 2441770 3622.148717 1264.167824
8936.000000 2418574 197.580703 2180.416174
8941.000000 2426807 2587.096259 1044.938448
9135.000000 2435426 1335.641690 3258.526631
9271.000000 2450490 3726.463256 2480.268295
9689.000000 2417274 984.259121 1301.975334
