SourceID Photons AvgX AvgY
45.000000 1857646 2538.444312 2144.250593
588.000000 1853890 1203.752935 3311.865034
591.000000 1856875 2191.893844 2706.712737
708.000000 1855611 2759.750996 2310.387807
1198.000000 1856513 2282.985325 2732.116795
1361.000000 1662 1724.928400 3964.643803
1441.000000 1857578 551.514866 2886.810699
1601.000000 1857331 178.349706 2335.998815
1701.000000 1847508 2984.338893 1261.529904
1798.000000 1852185 374.217808 4028.029887
1844.000000 1855555 350.015812 3681.538388
2038.000000 1852960 1266.384570 3862.296356
2462.000000 1850380 1236.290390 3937.310612
2592.000000 1845361 2313.134327 947.030826
3143.000000 1849411 336.162695 1612.431671
3205.000000 1859474 2842.284664 2690.460054
3806.000000 3305 3786.405144 4013.615734
3829.000000 1838268 3229.567803 152.760169
3878.000000 1838827 2736.938730 617.802294
4329.000000 1841216 312.270713 460.200517
4621.000000 1858672 2286.264836 2542.428899
5088.000000 1856484 1160.559708 3483.911416
5222.000000 1607 3909.357187 2370.891724
5882.000000 5251 3546.518758 49.697391
5906.000000 1854883 207.926492 3667.410095
6024.000000 1837448 1908.742227 54.152215
6508.000000 1848566 2336.577785 1389.996933
6661.000000 252027 1365.592488 4.022228
6833.000000 1852899 1140.377220 3825.534936
6994.000000 1852332 1661.469515 3694.986306
7048.000000 1855485 1567.485245 2392.106338
7091.000000 1857950 990.861027 2905.755598
7131.000000 3182 59.667819 60.030170
7195.000000 1840773 3867.540409 697.816437
7483.000000 1840276 3772.224288 727.645289
8149.000000 1857463 2881.683155 2501.199663
8370.000000 1854021 3735.591673 2974.058252
9045.000000 1855480 3357.309086 2304.093374
