SourceID Photons AvgX AvgY
-1028.888716 329 3812.811550 984.577508
-1042.735993 1293 3936.906419 3956.298531
-1037.280927 905210 3945.239587 2786.084393
-1031.825860 906664 3854.639374 1589.617286
-1026.370793 907885 3763.993061 393.212914
-1040.220293 904840 3698.815156 3406.551464
-1034.764116 907475 3608.107743 2210.050031
-1029.307938 906710 3517.394961 1013.623594
-1043.160771 902136 3452.393793 4026.959033
-1037.703482 903592 3361.623898 2830.592994
-1032.246193 907151 3270.838298 1634.103426
-1026.788904 907226 3180.035991 437.688818
-1040.643960 904408 3115.198800 3451.115493
-1035.185560 905371 3024.351137 2254.622934
-1029.727160 907220 2933.479028 1058.155872
-1043.585549 227888 2868.948404 4068.163352
-1038.126038 903244 2777.886840 2875.144888
-1032.666527 905525 2686.965070 1678.648990
-1027.207016 905672 2596.003404 482.256620
-1041.067627 903006 2531.503811 3495.740719
-1035.607004 906441 2440.538079 2299.224833
-1030.146382 906637 2349.510003 1102.770738
-1024.685760 407 2254.808354 161.597052
-1044.010327 1101 2293.362398 3987.257039
-1038.548593 903540 2194.149386 2919.818003
-1033.086860 904738 2103.057472 1723.306405
-1027.625127 905834 2011.980991 526.892335
-1041.491293 902049 1947.798341 3540.416074
-1036.028449 905076 1856.666018 2343.931342
-1030.565604 905486 1765.503185 1147.428791
-1025.102760 953 1674.662120 102.721931
-1044.435104 413 1698.273608 3915.297821
-1038.971149 903404 1610.329080 2964.589272
-1033.507193 904275 1519.160069 1768.056607
-1028.043238 905281 1427.910524 571.626207
-1041.914960 901315 1364.074983 3585.254732
-1036.449893 904068 1272.804507 2388.670947
-1030.984827 904450 1181.526765 1192.219609
-1025.519760 41191 1089.706562 7.655313
-1039.393704 901941 1026.532382 3009.394739
-1033.927527 904014 935.193057 1812.859938
-1028.461349 903088 843.816280 616.428046
-1042.338627 900381 780.300156 3630.117906
-1036.871338 900279 688.920200 2433.586324
-1031.404049 903703 597.477370 1237.028938
-1025.936760 901477 506.004104 40.780529
-1039.816260 901883 442.702790 3054.317282
-1034.347860 901896 351.218994 1857.738715
-1028.879460 902657 259.712636 661.275032
-1042.762293 897012 196.541772 3675.072925
-1037.292782 901858 105.065379 2478.527671
-1031.823271 893762 13.593196 1282.005054
-1026.353760 411 124.829684 145.143552
