SourceID Photons AvgX AvgY
-929.538460 545 3878.117431 1926.251376
-924.170060 889716 3985.841593 737.539019
-937.785116 904586 3905.672249 3751.453308
-932.415604 900892 3820.479460 2554.456201
-927.046093 899886 3735.300951 1357.242640
-921.676582 899825 3650.120925 159.998206
-935.293860 904120 3569.986063 3174.018666
-929.923238 900463 3484.704314 1976.925994
-924.552616 900461 3399.450728 779.668154
-938.173227 903232 3319.569612 3793.528220
-932.801493 904112 3234.194379 2596.576539
-927.429760 900436 3148.837860 1399.393065
-922.058027 900055 3063.476093 202.119143
-935.680860 903499 2983.771622 3216.143416
-930.308016 901342 2898.294099 2019.072719
-924.935171 899889 2812.902905 821.845334
-938.561338 904458 2733.439033 3835.611290
-933.187382 903090 2647.908854 2638.712137
-927.813427 900451 2562.362549 1441.588214
-922.439471 899822 2476.870213 244.389843
-936.067860 907583 2397.583427 3258.295107
-930.692793 903328 2311.943942 2061.267644
-925.317727 901674 2226.378319 864.075200
-938.949449 907580 2147.324888 3877.816185
-933.573271 904571 2061.642161 2680.924514
-928.197093 902094 1975.927319 1483.832525
-922.820916 900443 1890.274693 286.631361
-936.454860 906616 1811.379418 3300.527337
-931.077571 903998 1725.606943 2103.526520
-925.700282 903113 1639.851654 906.371300
-939.337560 907496 1561.207673 3920.059018
-933.959160 905661 1475.386970 2723.205310
-928.580760 904090 1389.505262 1526.147809
-923.202360 902025 1303.717339 328.937762
-936.841860 907375 1225.227789 3342.843652
-931.462349 904860 1139.312525 2145.856455
-926.082838 903570 1053.379076 948.707326
-939.725671 908229 975.167229 3962.342036
-934.345049 904484 889.186380 2765.521162
-928.964427 903285 803.157793 1568.475240
-923.583804 902578 717.161289 371.336405
-937.228860 907534 639.107074 3385.176112
-931.847127 905432 553.024877 2188.232954
-926.465393 901354 466.967978 991.124821
-940.113782 908057 389.155361 4004.666115
-934.730938 905499 303.001547 2807.908716
-929.348093 904916 216.828123 1610.907997
-923.965249 902164 130.721125 413.765951
-937.615860 906807 53.105226 3427.613826
-932.231904 1699 64.135962 2234.203649
