SourceID Photons AvgX AvgY
116.000000 270843 2499.520763 3562.004604
424.000000 272504 303.372963 3524.776557
771.000000 274934 699.129897 2962.691093
1027.000000 272583 895.245294 3457.810351
1054.000000 259435 2726.176006 325.306898
1327.000000 273937 1284.159044 3379.912385
1402.000000 273206 1510.286363 3233.940927
1418.000000 259344 1699.916034 74.416081
1837.000000 273261 2241.173153 2475.402999
2027.000000 267991 138.093876 1396.898362
2356.000000 259737 1896.362447 177.472282
2396.000000 262327 2863.968928 939.062971
2433.000000 272686 3817.307185 3339.419545
2441.000000 271460 1959.946320 3646.716599
2980.000000 269952 1785.304217 3868.158399
3022.000000 102 3808.970588 3940.313725
3205.000000 263900 1214.638268 908.320917
3382.000000 265437 2993.617227 1287.795484
3575.000000 268110 3255.359315 1580.189642
3723.000000 271319 2277.609954 1777.912229
4092.000000 270566 2776.334144 3595.356179
4470.000000 271440 1399.446869 3652.605058
4830.000000 262487 3001.093212 830.247140
5152.000000 270376 2354.352110 3828.416272
5647.000000 269002 1996.989141 1586.994071
6286.000000 273873 2496.882285 2959.966247
6673.000000 272726 884.671355 2056.077444
6686.000000 123 192.398374 2254.650407
6764.000000 274049 259.208645 2167.520520
6858.000000 274040 1360.411181 2345.369158
6986.000000 261045 2290.283066 539.402578
7043.000000 263030 3692.654344 1036.606448
7048.000000 268184 2586.868366 1433.559243
7256.000000 274074 769.093318 2678.251399
7632.000000 272516 2331.649855 1988.637680
7781.000000 268331 2043.524610 1509.766427
8036.000000 268542 1080.349364 1403.687740
8187.000000 274137 674.636587 3352.729559
8256.000000 1912 28.030335 2381.678870
9032.000000 273751 796.164931 3068.275805
9273.000000 271963 2661.747914 3441.109489
9284.000000 267177 3366.458423 1464.585387
