SourceID Photons AvgX AvgY
49.000000 261359 2877.127078 1778.189222
144.000000 262180 217.574495 3534.758010
487.000000 249 3935.726908 3983.867470
493.000000 265983 2738.744645 3805.638838
501.000000 268084 626.588226 1044.219439
528.000000 264952 2654.903216 1366.763980
1177.000000 261092 2111.007001 3206.977847
1204.000000 200 2290.425000 116.775000
1206.000000 267065 2081.043503 901.797585
1411.000000 267523 1958.671486 4014.993040
1797.000000 265948 2273.036680 3787.785571
1828.000000 260301 651.927319 2761.175032
1940.000000 260887 662.508124 2379.615972
2194.000000 260829 3356.336508 2935.322522
2225.000000 271417 2531.829292 93.274121
2255.000000 261786 2627.979376 3102.350932
2366.000000 265935 355.579416 3912.509455
2485.000000 271876 1597.627268 212.490955
3065.000000 263652 2050.494534 1521.800229
3191.000000 269856 883.464696 846.558961
3216.000000 265005 2858.450991 3717.974642
3228.000000 262994 3332.853172 1526.103071
3353.000000 260148 3740.791596 2737.416724
3490.000000 261893 3304.642763 1682.392462
3524.000000 271058 3336.090770 95.674634
3766.000000 309 1060.055016 4008.734628
4076.000000 262295 253.398124 3409.553430
4137.000000 260824 2911.923308 2668.997815
4210.000000 268695 3172.974428 537.235765
4213.000000 261130 2133.247252 2375.098338
4253.000000 256 3899.792969 3963.332031
4366.000000 264587 3328.211911 3618.695151
4369.000000 273009 1313.048020 157.210392
4641.000000 261213 1161.466278 2202.864337
4701.000000 264639 2276.558024 3746.391828
4890.000000 263852 657.329014 1710.396245
5266.000000 270322 2673.308983 534.448410
5318.000000 262387 3270.081365 3254.423580
5430.000000 260619 2600.972803 2422.087668
5738.000000 263241 791.790447 3492.056545
5825.000000 269462 3048.746836 399.944007
5850.000000 271011 1824.210213 398.722159
6126.000000 272112 2923.266842 182.894345
6480.000000 273056 1008.151050 53.690433
6537.000000 266765 2183.783813 1064.299694
6722.000000 340 2819.614706 81.408824
7653.000000 263703 592.881526 1672.306235
7771.000000 264145 1179.308717 1408.518867
8300.000000 158 1622.449367 3941.240506
8748.000000 260082 1772.224637 2779.602395
9006.000000 264011 3555.068849 1353.635424
9407.000000 261376 3585.697952 3122.066884
9522.000000 260795 33.466550 2959.913595
9683.000000 268530 2239.094340 725.625599
9790.000000 259194 2010.863828 2528.698685
