SourceID Photons AvgX AvgY
573.000000 2527595 1175.618816 2275.758124
672.000000 2529762 2748.199492 2566.508016
677.000000 2522040 2361.915444 1398.763581
741.000000 2525603 737.202741 1767.133367
842.000000 2486080 3988.633241 3885.922062
933.000000 2530265 1030.762032 2079.310481
1143.000000 2526219 182.943089 1856.581042
1434.000000 2526293 1764.660115 3665.263083
1562.000000 2524627 1365.550420 547.704517
1622.000000 2529068 2344.599918 1675.793669
2328.000000 2494353 1464.016923 4060.579206
3074.000000 2526233 2584.399059 603.961310
3376.000000 2526450 2020.306396 953.510774
3577.000000 2528018 2035.711404 3709.085370
3593.000000 2527313 2963.429679 1697.824833
3626.000000 2528288 280.495238 3523.289643
3836.000000 2528066 1375.320348 1043.238452
3850.000000 2527757 1889.108052 845.636564
4032.000000 2527196 2926.037764 895.296939
4396.000000 2529523 1507.816604 1498.643702
4399.000000 2522604 3492.036090 3850.347418
4715.000000 2524940 3316.036273 310.108824
4961.000000 2526773 2750.169583 2083.406328
4988.000000 2525168 1639.699189 2454.575142
5219.000000 1458 116.975309 2922.407407
5317.000000 2529151 2108.932111 1694.216012
5370.000000 2527152 725.159097 2649.366234
5887.000000 2523405 3624.411521 2458.346271
6171.000000 135663 3992.195278 1609.855340
6281.000000 2528965 1794.567792 720.230446
6338.000000 2524912 3460.236739 3121.336155
6672.000000 2522537 2333.118527 2861.304634
6944.000000 2527258 2847.748981 1517.600959
7049.000000 2525975 3498.057914 882.694537
7157.000000 1307 146.889824 2319.583780
7170.000000 2525108 1525.169580 3250.769104
7707.000000 2521755 2137.318541 46.730202
7750.000000 2524056 3551.346775 2356.635022
7781.000000 2528423 533.017889 1309.227044
7867.000000 14538 2481.441326 29.001995
8242.000000 2528531 2179.679383 653.633445
8436.000000 2528506 2556.645410 1145.198601
8437.000000 2527259 1218.996368 1157.222724
8470.000000 2526066 2022.242731 2629.991811
9161.000000 2527483 2729.965619 1799.791058
9287.000000 1663 3014.189417 3959.133494
9413.000000 2525321 2005.696482 3076.852637
9420.000000 2528589 1797.398494 2044.708302
9466.000000 2526247 2929.266704 3523.281015
9686.000000 2521687 2265.747199 3855.503589
9726.000000 1453 122.286992 3708.195458
