SourceID Photons AvgX AvgY
5.000000 4891 64.047230 2107.536496
108.000000 2423150 2613.060761 2934.203242
199.000000 2406036 3137.089703 3346.924543
763.000000 2422208 621.852796 3887.710254
1174.000000 1125 2476.078222 3922.554667
1334.000000 2429099 438.866849 3661.372689
1900.000000 2431960 3280.484929 1683.651488
2004.000000 2425218 1937.911139 2899.528842
2256.000000 2424683 3082.912203 2188.585879
2900.000000 26802 3980.726065 3934.090814
3361.000000 2424368 920.321035 3795.680944
3480.000000 2422268 3257.152284 2322.586961
3492.000000 2451506 2050.781410 435.505127
4565.000000 2432317 1905.123624 2721.311096
4633.000000 2446753 1342.097274 1493.469079
5294.000000 1563 846.353167 119.897633
5766.000000 2414780 3302.893014 2960.346950
5953.000000 2454880 1409.955461 436.659334
5984.000000 2405195 3134.681262 3560.039819
6471.000000 2453518 1331.656337 1111.721995
6974.000000 2411956 3590.407486 2717.960483
6981.000000 2433655 108.656503 3185.127426
7018.000000 2411293 2783.403600 3319.283575
7031.000000 2410427 3616.553483 2821.086454
7034.000000 2411925 2007.437648 3938.984058
7215.000000 2408547 2710.276289 3673.985747
7316.000000 2425028 3945.486497 1505.750438
8002.000000 220480 5.139881 2292.701202
8093.000000 2453619 467.770035 1138.565072
8143.000000 2435986 68.889640 3173.578778
8613.000000 2424711 1327.773243 3369.775902
8661.000000 2453778 485.503577 903.787265
9166.000000 2435741 1919.571606 1929.837656
9377.000000 2416303 3902.889469 2415.342443
9760.000000 2424328 1161.294783 3529.776231
9869.000000 2430882 1109.341118 2956.146136
9976.000000 2437467 593.708043 2591.530161
