SourceID Photons AvgX AvgY
143.000000 2228373 2256.763827 2139.327551
269.000000 2226810 3800.236178 2536.034248
355.000000 2225649 2317.339966 1735.459413
535.000000 2227321 2443.180864 2158.058368
679.000000 2228134 3534.618536 1613.161787
761.000000 2227603 3926.265165 216.337280
903.000000 2221071 821.177122 28.636603
937.000000 2223677 660.084139 3384.104049
951.000000 2221594 1244.645503 3964.131336
1060.000000 2226166 1893.914039 1852.008055
1062.000000 2224822 1863.851518 3963.805600
1121.000000 2225270 1988.080393 1618.827301
1266.000000 2225677 1206.166562 3713.433499
1430.000000 2224807 919.016939 2029.719672
1949.000000 2224625 448.732837 3171.636064
2073.000000 1759 617.603752 112.101762
2245.000000 2222940 3470.802628 295.632253
2307.000000 2225757 1511.199961 3736.528087
2722.000000 2227697 3648.801241 2768.030989
2999.000000 2224893 3935.242722 3182.010326
3017.000000 2229161 3637.257187 890.729839
3029.000000 1379 3053.851342 3937.081218
3040.000000 2228846 2048.623862 1913.902556
3055.000000 2226342 1152.862129 713.291760
3124.000000 2221787 371.413263 3198.244028
3138.000000 2229165 2742.528937 882.207921
3145.000000 2130 1496.050235 3959.515962
3433.000000 2228647 2437.925081 181.121585
3670.000000 2228710 2187.490794 548.921283
4439.000000 2224847 3466.023776 1636.002986
4921.000000 2227163 2291.257050 2372.568767
5268.000000 2226191 1522.991717 3606.215044
5294.000000 2219560 586.105531 4031.700747
5398.000000 2226784 2953.066756 3235.856789
5904.000000 2228646 1602.070809 1085.199674
6024.000000 2226181 1614.067480 951.952037
6144.000000 2225052 3639.710783 3542.842331
6451.000000 1626 3881.228167 444.304428
6754.000000 1178 662.822581 3919.290323
6833.000000 2227957 1978.648365 3115.525599
6942.000000 2224490 869.879205 2774.054664
7710.000000 2227001 3118.759102 3582.863226
7733.000000 2223754 521.845416 2581.694383
7738.000000 5103 3940.479130 732.387419
7776.000000 2226939 2854.420789 175.547401
8610.000000 3035 84.214827 2366.940033
8805.000000 2227948 2280.770359 2005.397953
9040.000000 2225968 412.555358 2590.085807
9409.000000 1323 3857.751323 970.554800
9620.000000 2228667 968.230160 1818.456213
9903.000000 2227898 3675.125303 819.327280
9991.000000 2228284 3617.980984 1554.250343
