SourceID Photons AvgX AvgY
111.000000 2112759 1706.747134 2028.079632
236.000000 2091573 204.154128 331.048822
255.000000 2086518 735.434136 2898.661078
294.000000 2085910 50.075875 563.725744
394.000000 32496 16.888540 356.094904
671.000000 2112541 1268.074653 545.684845
878.000000 2093507 468.827360 1348.015413
936.000000 2086231 135.000875 939.059182
943.000000 2118494 1734.111401 640.504834
1009.000000 2121527 2152.390591 1350.570631
1326.000000 2095075 754.797624 2215.128495
1328.000000 2107963 1245.179310 604.591545
1827.000000 10138 198.601993 4038.223318
2257.000000 2142191 3636.434177 2050.576345
2691.000000 2141068 3334.853706 726.765229
3382.000000 2121964 1611.680303 474.874701
3512.000000 2123282 1998.188228 138.799539
3557.000000 2240 2446.075000 3970.580804
3996.000000 2099077 879.288339 1702.499440
4015.000000 2136798 3807.824723 3302.486826
4224.000000 2124073 2344.354363 1691.567155
4654.000000 2589 90.436076 2924.202781
4694.000000 2127072 2900.421123 3182.068823
4699.000000 2104113 1407.107109 2195.986772
4711.000000 2132837 3260.416287 2487.472161
4841.000000 2124734 2940.747945 3459.353670
5103.000000 2107841 2267.113258 12.418131
5168.000000 2131975 3253.565254 2894.104541
5405.000000 2133855 2766.397509 1197.921724
5858.000000 2112072 2445.906200 3686.451600
6087.000000 2113401 1723.482336 1548.784006
6118.000000 1144 355.420455 128.640734
6388.000000 2112944 2264.384702 3522.785588
6568.000000 2126083 2070.694756 183.651849
6889.000000 2099119 1748.088448 4009.808853
7235.000000 2089910 796.818712 2983.275124
7323.000000 5638 3941.964349 1095.151117
7328.000000 2136913 3918.039837 3273.207699
7374.000000 2098468 1452.894802 3445.231813
7626.000000 2121561 2547.489236 3115.168402
7834.000000 3191 979.301786 3995.363209
8216.000000 2096638 1281.793342 3392.768368
8331.000000 2141177 3220.219717 664.772128
8859.000000 2137153 3243.986536 2072.096576
9011.000000 2110259 1167.838152 458.402100
9214.000000 2127038 2384.638590 1258.976351
9565.000000 2087033 80.326849 890.415273
9822.000000 2135845 3855.222949 3593.371214
9971.000000 2111571 2106.042757 3186.208137
