SourceID Photons AvgX AvgY
94.000000 900 315.581111 173.163333
211.000000 2033915 873.112610 2376.561100
482.000000 2048361 3438.675000 923.004517
576.000000 2036355 1863.578945 2000.260192
621.000000 2037239 99.931713 2405.143787
828.000000 2058986 745.748017 1346.872977
850.000000 2053010 870.852145 1552.033476
1146.000000 1987981 2397.715613 2880.697467
1239.000000 1935282 3395.385020 2876.796661
1559.000000 2033963 2250.874691 1929.373257
1714.000000 1752961 3817.505678 3492.198463
1740.000000 1945710 405.046779 3637.589839
1956.000000 1696599 2854.409604 3993.613008
1966.000000 2064264 2203.722368 17.901386
2053.000000 2038646 1033.798816 2171.858052
2378.000000 2031237 1480.895357 2457.418398
2481.000000 2074737 885.684315 318.324572
2710.000000 1901252 910.180077 3747.076875
2865.000000 1963459 3823.457619 2584.654813
2873.000000 1309 3722.782277 120.435447
2902.000000 2000924 2041.121792 2890.403922
2917.000000 2135 2792.602342 100.438876
3165.000000 1896733 1287.702996 3669.250023
3326.000000 2058929 3806.951631 177.601646
3775.000000 1915206 3955.122964 2765.110507
4076.000000 1788602 2340.540404 3824.058576
4086.000000 2045731 1624.405817 1686.562093
4440.000000 2042374 964.414076 2030.975191
4547.000000 2071443 1992.675276 334.791826
4964.000000 1968628 3768.451339 2562.567043
5106.000000 2069150 801.096119 797.650005
5387.000000 2068780 2181.511551 520.315005
6026.000000 2052242 10.163600 411.894228
6303.000000 2028584 3924.487132 1640.156990
6368.000000 2038265 2583.981071 1728.730579
6510.000000 20523 20.827998 2352.605516
6549.000000 1836675 3588.756329 3246.357774
7094.000000 1961307 3042.904085 2864.258140
7304.000000 2071990 2191.231501 154.996147
7453.000000 2050871 978.543013 1574.561039
7494.000000 1466 548.782401 3956.875171
7599.000000 2031732 123.244682 2723.846907
7678.000000 2066385 1344.836926 730.384706
7963.000000 2061231 3616.823863 330.792390
8117.000000 2033490 158.265508 2653.798954
8208.000000 2045990 376.958591 1896.949475
8579.000000 1970401 587.150045 3467.323676
8613.000000 2029752 304.160508 2779.686507
8876.000000 2065604 3346.197037 101.766618
8902.000000 1612502 3910.535759 3933.435782
9000.000000 2001167 3861.054203 2289.814061
9436.000000 2008619 3657.336098 2306.400662
9664.000000 642820 2330.816826 4068.403852
9836.000000 2066079 3498.681117 174.440934
9911.000000 2059606 2861.292733 637.807700
